Vehicle.Type,Drive.Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears,Fuel Delivery - Gasoline Direct & Port Injection (GDPI)
Sedan/Wagon,Rear Wheel Drive,2013,880,0.107,28.57733,22.8724,18.61514,27.64128,388.53168,477.42055,321.47516,3900.052,48.05902,213.1419,308.6003,6.4156,1.511651,0.078288,44.98374,0.126,0.042,0.831,0.001,-,-,0.469,0.442,-,0.002,0.001,0.001,-,-,-,0.005,0.993,0.265,0.153,0.062,0.894,0.954,6.6,-,5.9,0.001,0.131,0.402,0.205,0.26,-,0.086
Sedan/Wagon,Rear Wheel Drive,2014,954,0.125,29.40273,23.55283,19.10379,28.57267,375.26926,463.21961,308.92075,3975.361,48.51649,220.7752,312.8032,6.3504,1.509266,0.078404,50.11612,0.1,0.057,0.843,0,-,-,0.5,0.423,-,0.032,0.01,0.022,0.007,-,-,0.003,0.958,0.245,0.227,0.093,0.861,0.941,6.5,-,6,0.028,0.125,0.367,0.209,0.27,-,0.046
Sedan/Wagon,Rear Wheel Drive,2015,908,0.115,29.10757,23.33891,18.90676,28.35297,379.55711,468.83762,312.20515,3972,48.70631,219.0386,322.5015,6.1896,1.578905,0.080641,48.35457,0.107,0.054,0.839,0,-,-,0.547,0.375,-,0.013,0.003,0.01,0.008,-,-,0.001,0.978,0.303,0.242,0.092,0.865,0.966,7,-,6,0.017,0.009,0.357,0.169,0.447,0,0.066
Sedan/Wagon,Rear Wheel Drive,2016,800,0.112,29.31738,23.51526,19.0487,28.56876,376.57706,465.15871,309.75231,3940.166,48.61623,219.3064,329.7145,6.0048,1.600935,0.083075,48.83284,0.117,0.05,0.833,0,-,-,0.542,0.363,-,0.015,0.002,0.012,0.007,-,-,0.001,0.978,0.387,0.281,0.165,0.821,0.978,7.2,-,5.9,0.017,0.001,0.23,0.175,0.572,0.004,0.08
Sedan/Wagon,Rear Wheel Drive,2017,700,0.1,29.65184,23.77831,19.31111,28.80509,371.28255,457.58165,306.17972,3952.116,48.3717,212.9668,326.974,5.97,1.668098,0.082322,51.11735,0.118,0.059,0.822,0.001,-,-,0.595,0.316,-,0.021,0.003,0.019,0.017,-,-,0,0.961,0.465,0.32,0.177,0.818,0.945,7.2,-,5.8,0.029,0,0.247,0.16,0.498,0.066,0.068
Sedan/Wagon,Rear Wheel Drive,2018,703,0.118,32.497,26.02671,21.19079,31.4392,332.2347,410.23396,273.39315,4016.749,49.20252,212.4986,329.3164,5.7366,1.713558,0.081728,72.22393,0.074,0.157,0.768,0.001,-,-,0.53,0.3,-,0.117,0.001,0.116,0.023,-,-,0.001,0.858,0.462,0.397,0.156,0.747,0.846,7.2,-,5.8,0.122,-,0.083,0.092,0.515,0.188,0.053
Sedan/Wagon,Rear Wheel Drive,2019,661,0.125,30.77743,24.78693,20.01544,30.222,351.60575,437.27066,286.98135,4017.99,49.45081,225.4865,343.3825,5.6631,1.68918,0.085356,66.25524,0.085,0.114,0.801,0,-,-,0.492,0.375,-,0.09,0,0.09,0.015,-,-,0.005,0.891,0.396,0.34,0.146,0.731,0.906,7.4,-,6,0.095,-,0.085,0.066,0.542,0.212,0.043
Sedan/Wagon,Rear Wheel Drive,2020,490,0.115,31.05587,25.0196,20.29544,30.34878,348.65935,431.63223,286.06578,4011.027,49.03771,222.5864,350.6538,5.3811,1.737806,0.086882,69.34365,0.072,0.136,0.791,0,-,-,0.516,0.34,-,0.097,-,0.097,0.005,-,-,0.003,0.895,0.436,0.283,0.144,0.727,0.843,7.5,-,6,0.099,-,0.088,0.059,0.497,0.257,0.047
Sedan/Wagon,Rear Wheel Drive,2021,504,0.142,33.02788,26.64425,21.65707,32.24602,320.59601,397.91016,262.2713,4053.193,49.50548,233.9773,344.1039,5.5391,1.675215,0.084529,85.26716,0.058,0.207,0.73,0.005,-,-,0.434,0.332,-,0.175,-,0.169,0.011,0.005,-,0.022,0.793,0.35,0.223,0.22,0.62,0.754,7,-,6.1,0.17,-,0.064,0.043,0.528,0.188,0.06
Sedan/Wagon,Rear Wheel Drive,2022,462,0.135,32.93113,26.50073,21.64464,31.89978,320.88262,396.73288,263.66225,4068.388,49.50788,232.5892,347.2779,5.6154,1.675789,0.08512,83.89524,0.068,0.21,0.716,0.006,-,-,0.419,0.32,-,0.18,-,0.174,0.01,0.006,-,0.04,0.77,0.329,0.188,0.187,0.624,0.774,6.9,-,6,0.174,-,0.087,0.034,0.536,0.163,0.081
Car SUV,Rear Wheel Drive,1975,10,1,13.05756,11.12929,10.13552,12.64456,798.5239,876.81716,702.83214,4000,-,261.5908,112.7733,-,0.430248,0.028193,22.60428,0.683,0.317,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5.1,-,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1976,11,1,12.3849,10.58091,9.39272,12.51605,839.90887,946.1582,710.04857,3986.237,-,263.3354,123.1064,-,0.467071,0.030935,22.09618,0.691,0.309,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.2,-,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1977,19,1,14.2834,12.16264,11.21446,13.56437,730.68014,792.45908,655.17255,4000,-,260.9918,124.4603,-,0.476739,0.031115,25.10549,0.825,0.175,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.2,-,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1978,16,1,13.55886,11.57282,10.36991,13.48465,767.91977,856.99842,659.04587,4000,-,262.3296,126.0851,14.1734,0.481002,0.031521,23.76201,0.842,0.158,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.2,-,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1979,16,1,16.82631,14.26603,13.87578,14.77387,622.94839,640.46833,601.53512,3270.859,-,185.12,98.7179,16.3851,0.576153,0.029982,23.59804,0.377,0.583,0.039,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.3,-,5.1,1,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1980,0,1,17.1646,14.57638,13.92621,15.45846,609.68513,638.14935,574.89552,4000,-,280.2066,122.1928,16.1315,0.43643,0.030548,29.37284,0.039,0.094,0.868,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,7.2,1,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1981,0,1,17.26,14.68025,13.716,16.0602,605.37116,647.92943,553.3555,4000,-,318,140,14.3434,0.440252,0.035,29.3605,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,8,1,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1982,13,1,23.40067,19.76697,20.17557,19.28949,449.58844,440.48314,460.71714,2629.999,-,158.5725,87.8139,17.3155,0.556546,0.033514,25.96125,0.046,0.865,0.089,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,4.3,1,-,-,-,-,-,-
Car SUV,Rear Wheel Drive,1983,34,1,24.33464,20.6873,19.49465,22.35918,429.58726,455.86872,397.46547,3124.431,-,162.9549,100.7415,15.4064,0.617265,0.032534,32.65834,0.193,0.376,0.432,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3.7,-,5.2,0.893,0.107,-,-,-,-,-
Car SUV,Rear Wheel Drive,1984,55,1,22.61466,19.28953,17.47103,22.10116,460.71629,508.67055,402.10552,3486.502,-,179.469,108.7714,15.2456,0.615247,0.031331,33.89977,0.194,0.158,0.648,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,5.9,0.873,0.127,-,-,-,-,-
Car SUV,Rear Wheel Drive,1985,88,1,23.48416,20.08032,17.62417,24.20283,442.57267,504.25066,367.18847,3469.242,-,170.8898,108.8355,15.0614,0.637029,0.031408,34.88328,0.159,-,0.841,-,-,0.947,-,-,0.053,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,5.8,0.918,0.082,-,-,-,-,-
Car SUV,Rear Wheel Drive,1986,59,1,22.26337,18.92466,17.11181,21.65796,469.60984,519.36056,410.34432,3479.487,-,169.7659,121.0844,13.4874,0.713221,0.034824,33.03645,0.181,-,0.819,-,-,0.131,-,0,0.868,0,0,-,-,-,-,-,1,-,-,-,-,-,4,-,5.7,0.889,0.111,-,-,-,-,-
Car SUV,Rear Wheel Drive,1987,95,1,22.86177,19.42471,17.10779,23.05481,457.50994,519.47108,385.47272,3491.782,-,178.8586,130.5429,13.0462,0.729852,0.03739,33.99778,0.143,-,0.857,-,-,-,-,0.328,0.672,-,-,-,-,-,-,-,1,-,-,-,-,-,4.1,-,5.9,0.898,0.102,-,-,-,-,-
Car SUV,Rear Wheel Drive,1988,109,1,22.74722,19.24756,17.05493,22.53121,461.7209,521.08109,394.4306,3494.767,-,199.186,141.5664,12.3505,0.718759,0.040506,33.72946,0.246,-,0.754,-,-,-,-,0.482,0.518,-,-,-,-,-,-,-,1,-,-,-,-,-,4.2,-,5.9,0.758,0.242,-,-,-,-,-
Car SUV,Rear Wheel Drive,1989,108,1,22.68584,19.11214,17.05288,22.05536,464.99236,521.14362,402.9406,3497.227,-,226.0193,147.6344,11.4005,0.668097,0.042212,33.49352,0.274,-,0.726,-,-,0.014,-,0.447,0.539,-,-,-,-,-,-,-,1,-,-,-,-,-,4.3,-,5.9,0.726,0.274,-,-,-,-,-
Car SUV,Rear Wheel Drive,1990,65,1,22.45767,18.84529,16.88798,21.5337,471.57682,526.23232,412.70199,3518.094,-,208.7477,145.8198,10.908,0.714391,0.041457,33.19891,0.351,0.018,0.63,-,-,0.051,-,0.633,0.316,-,-,-,-,-,-,-,1,-,-,-,-,-,4.4,-,5.7,0.649,0.351,-,-,-,-,-
Car SUV,Rear Wheel Drive,1991,224,1,21.79184,18.20849,16.42682,20.54704,488.06901,541.00543,432.5198,3732.531,-,214.879,144.6175,11.8066,0.679544,0.038516,34.03092,0.222,0.001,0.777,-,-,0.008,-,0.493,0.499,-,-,-,-,-,-,-,1,-,-,-,-,-,4.1,-,5.5,0.778,0.222,-,-,-,-,-
Car SUV,Rear Wheel Drive,1992,243,1,21.4221,17.84349,16.06389,20.12662,498.05274,553.22828,441.55461,3712.507,-,209.8701,152.612,11.0964,0.733583,0.040895,33.20409,0.246,-,0.754,-,-,0.012,-,0.684,0.303,-,-,-,-,-,-,-,1,-,-,-,-,-,4.1,-,5.5,0.775,0.225,-,-,-,-,-
Car SUV,Rear Wheel Drive,1993,473,1,20.43564,17.0292,15.04102,19.62872,521.86822,590.85098,452.75487,3847.533,-,238.3077,178.7425,9.5152,0.756729,0.046205,32.91223,0.109,-,0.891,-,-,0.007,-,0.906,0.087,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,6.1,0.891,0.109,-,-,-,-,-
Car SUV,Rear Wheel Drive,1994,323,0.974,21.82252,18.07481,16.0909,20.54839,491.67868,552.29988,432.49126,3728.127,-,209.5416,163.2273,9.9134,0.78885,0.043442,33.64328,0.206,0.078,0.716,-,-,-,-,0.919,0.081,-,-,-,-,-,-,-,1,-,-,-,0.098,-,4.1,-,5.5,0.794,0.206,-,-,-,-,-
Car SUV,Rear Wheel Drive,1995,220,0.999,21.52304,17.80795,15.66475,20.48286,499.04677,567.32465,433.87488,3763.743,-,214.1051,165.327,10.2075,0.782605,0.043636,33.56221,0.173,-,0.827,-,-,-,-,0.908,0.092,-,-,-,-,-,-,-,1,-,-,-,0.191,-,4.1,-,5.7,0.827,0.173,-,-,-,-,-
Car SUV,Rear Wheel Drive,1996,269,0.937,21.98125,18.11606,15.91531,20.79548,490.55913,558.39312,427.35241,3760.674,-,221.2078,169.8743,10.2467,0.78973,0.045085,34.13669,0.149,-,0.851,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.279,-,4.1,-,5.7,0.851,0.149,-,-,-,-,-
Car SUV,Rear Wheel Drive,1997,287,0.797,22.48239,18.42351,16.29182,20.90947,482.37269,545.48859,425.02274,3685.993,-,206.784,169.3816,10.0803,0.847265,0.045874,34.00241,0.218,0.077,0.705,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.43,-,4.3,-,5.4,0.719,0.281,-,-,-,-,-
Car SUV,Rear Wheel Drive,1998,408,0.897,21.71552,17.78663,15.55437,20.38647,499.64509,571.35066,435.92646,3895.482,-,229.4617,173.4429,10.4177,0.774721,0.044464,34.67478,0.109,-,0.891,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.21,-,4.5,-,5.8,0.526,0.474,-,-,-,-,-
Car SUV,Rear Wheel Drive,1999,413,0.846,22.05472,17.9779,15.75921,20.47862,494.32927,563.92434,433.96478,3897.519,-,223.4299,171.1972,10.4821,0.790773,0.043932,35.05611,0.089,-,0.911,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.273,-,4.4,-,5.8,0.566,0.434,-,-,-,-,-
Car SUV,Rear Wheel Drive,2000,538,0.873,21.48821,17.46716,15.29065,19.86253,508.78332,581.20479,447.42532,3914.978,-,221.1381,174.216,10.0032,0.81194,0.044466,34.22351,0.061,-,0.939,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.244,-,4.3,-,5.8,0.676,0.324,-,-,-,-,-
Car SUV,Rear Wheel Drive,2001,467,0.629,22.06721,17.83455,15.67379,20.12963,498.30233,566.99738,441.48854,3843.731,-,209.2106,179.3571,9.6913,0.883337,0.046491,34.36116,0.061,-,0.939,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.206,-,4.3,-,5.6,0.692,0.308,-,-,-,-,-
Car SUV,Rear Wheel Drive,2002,268,0.445,21.43402,17.29462,15.11732,19.57374,513.85928,587.86884,454.02666,3935.064,-,207.6415,182.6312,9.8469,0.897969,0.046317,34.08857,0.079,-,0.921,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.598,-,4.2,-,5.7,0.814,0.186,-,-,-,-,-
Car SUV,Rear Wheel Drive,2003,196,0.341,21.94653,17.64253,15.35691,19.99322,503.72584,578.69712,444.50068,3991.081,-,217.6444,194.0893,9.4207,0.899523,0.048621,35.25064,0.054,-,0.946,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.249,0.029,4.2,-,5.9,0.824,0.176,-,-,-,-,-
Car SUV,Rear Wheel Drive,2004,151,0.237,22.36434,17.98904,15.36652,20.71964,494.02299,578.33542,428.91681,4042.437,-,212.8707,203.7583,9.2371,0.961413,0.050236,36.39363,0.063,-,0.937,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.359,0.116,4.2,-,5.9,0.821,0.179,-,-,-,-,-
Car SUV,Rear Wheel Drive,2005,93,0.115,21.93451,17.64366,14.90984,20.47594,503.69354,596.04933,434.02163,4249.337,-,224.1493,235.6565,8.4931,1.054646,0.055196,37.50706,0.033,-,0.967,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.595,0.499,4.5,-,6,0.485,0.485,0.03,-,-,-,-
Car SUV,Rear Wheel Drive,2006,103,0.137,22.3832,17.99431,15.19213,20.90286,493.87831,584.97386,425.15711,4231.148,-,216.2685,230.5553,8.6969,1.068779,0.054207,38.08501,0.045,-,0.955,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.686,0.461,4.5,-,6,0.515,0.454,0.031,-,-,-,-
Car SUV,Rear Wheel Drive,2007,92,0.1,22.53225,18.07578,15.35432,20.86576,491.65229,578.79488,425.91315,4280.235,-,232.9745,243.8332,8.3387,1.047373,0.056872,38.65903,0.039,-,0.961,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.751,0.545,4.8,-,6,0.219,0.735,0.045,-,-,-,-
Car SUV,Rear Wheel Drive,2008,71,0.076,22.72631,18.26742,15.39711,21.2568,486.49448,577.18623,418.07789,4405.956,47.34276,221.9133,257.3522,8.2375,1.165254,0.058563,40.26041,0.004,-,0.996,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,0.945,5,-,6,-,0.99,0.01,-,-,-,-
Car SUV,Rear Wheel Drive,2009,31,0.05,23.29061,18.6827,15.7984,21.66683,475.68063,562.5255,410.16608,4478.963,48.89903,222.6039,268.6706,7.8528,1.210324,0.060029,41.85956,0.002,-,0.998,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,0.722,5.3,-,6,-,0.823,0.02,0.157,-,-,-
Car SUV,Rear Wheel Drive,2010,25,0.028,23.29376,18.67666,15.81702,21.62626,475.83443,561.86319,410.93554,4500,46.88362,226.4588,264.4622,7.8144,1.173796,0.058769,42.07751,0.003,-,0.997,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,1,6.1,-,6,-,0.437,0.003,0.561,-,-,-
Car SUV,Rear Wheel Drive,2011,19,0.015,23.68707,18.99378,16.08161,21.99907,467.88991,552.61868,403.97171,4246.348,47.31528,221.7845,270.6921,7.4379,1.226154,0.06393,40.34427,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,1,6.4,-,6,0.01,0.298,0,0.692,-,-,-
Car SUV,Rear Wheel Drive,2012,49,0.039,23.80772,19.10261,16.23033,22.04579,465.22447,547.555,403.11548,4098.101,45.77922,219.1575,233.1639,8.4063,1.068951,0.056689,39.15234,0.003,-,0.997,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,0.493,0.493,5,-,5.9,0.571,0.135,-,0.294,-,-,-
Car SUV,Rear Wheel Drive,2013,24,0.016,26.46184,20.93813,17.96581,23.92404,424.44092,494.66168,371.46737,4429.251,47.33239,216.7906,289.5687,7.3787,1.33695,0.065094,46.51812,0.002,-,0.998,-,-,-,0.538,0.462,-,-,-,-,-,-,-,-,1,-,0.179,-,1,1,6.4,-,5.9,0.069,0.186,-,0.745,-,-,-
Car SUV,Rear Wheel Drive,2014,20,0.013,26.73414,21.26935,18.05426,24.5701,417.83132,492.23831,361.69973,4500,47.08377,219.8431,296.454,7.2084,1.355112,0.065879,48.04549,-,-,1,-,-,-,0.266,0.734,-,-,-,-,-,-,-,-,1,-,0.742,-,1,1,6.6,-,6,-,0.179,-,0.821,-,-,-
Car SUV,Rear Wheel Drive,2015,24,0.014,27.48009,21.84357,18.48525,25.31277,406.84748,480.76169,351.08764,4457.354,47.32217,210.5183,293.9402,7.1595,1.422516,0.065889,48.94158,-,-,1,-,-,-,0.785,0.215,-,-,-,-,-,-,-,-,1,0.085,0.785,-,1,1,6.8,-,5.8,-,0.121,-,0.794,0.085,-,-
Car SUV,Rear Wheel Drive,2016,22,0.012,31.69309,24.77539,21.21594,28.36548,358.70268,418.88316,313.30338,4052.803,49.71659,132.5958,249.7179,7.0339,1.923483,0.061476,50.37805,-,-,1,-,-,-,0.894,0.106,-,-,-,-,-,-,-,-,1,0.894,0.894,-,1,1,8.6,-,4.2,-,-,-,0.106,0.153,0.741,-
Car SUV,Rear Wheel Drive,2017,40,0.02,30.78706,24.25357,20.78463,27.74712,366.42026,427.57559,320.28554,4059.682,49.35056,134.2022,250.561,7.1008,1.910646,0.061563,49.33898,-,-,1,-,-,-,0.881,0.119,-,-,-,-,-,-,-,-,1,0.881,0.881,-,1,1,8.3,-,4.2,-,-,-,0.119,0.465,0.415,-
Car SUV,Rear Wheel Drive,2018,28,0.015,32.2641,25.30992,21.79773,28.81206,351.12715,407.70293,308.44718,4000,49.78465,121.4982,241,7.0328,1.983569,0.06025,50.61984,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,9,-,4,-,-,-,-,-,1,-
Car SUV,Rear Wheel Drive,2019,62,0.033,34.10935,26.67563,22.83715,30.5492,333.15048,389.14663,290.90776,4000,49.75649,121.7974,245.8855,7.0602,2.018736,0.061471,53.60586,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,8.5,-,4,-,-,-,-,0.545,0.455,-
Car SUV,Rear Wheel Drive,2020,39,0.022,34.68529,27.0597,23.19364,30.95174,328.42199,383.16535,287.12437,4000,49.76519,121.767,253.4573,6.9192,2.081535,0.063364,54.4129,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,8.5,-,4,-,-,-,-,0.489,0.511,-
Car SUV,Rear Wheel Drive,2021,71,0.045,47.02012,36.13881,31.90058,40.16432,216.61284,251.89697,189.99498,4251.388,49.34988,123.539,313.9545,6.6624,2.06639,0.072575,118.4007,-,0.342,0.658,-,-,-,0.621,-,-,0.342,-,0.342,-,-,-,-,0.658,0.658,0.658,-,0.658,0.658,5.9,-,4,0.342,-,-,-,0.359,0.299,0.038
Car SUV,Rear Wheel Drive,2022,70,0.053,40.87918,31.03775,27.76287,34.06948,263.38662,299.10151,236.44381,4396.137,49.83967,122.5397,251.6806,7.0312,2.067188,0.057669,101.26755,-,0.258,0.742,-,-,-,0.724,-,-,0.258,-,0.258,-,-,-,-,0.742,0.742,0.742,-,0.742,0.742,6.6,-,4,0.258,-,-,-,0.383,0.36,0.018
Minivan/Van,Rear Wheel Drive,1975,457,1,13.07367,11.10606,10.55642,11.86084,800.19398,841.85725,749.2722,4195.69,-,317.5113,143.2245,-,0.447872,0.034073,23.84776,0.233,0.767,-,-,-,0.998,-,-,0.002,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.5,-,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1976,502,1,13.85687,11.78392,11.05859,12.81092,754.16317,803.62893,693.70503,4199.864,-,323.6584,145.6272,-,0.447397,0.034712,25.24372,0.205,0.795,-,-,-,0.997,-,-,0.003,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.5,-,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1977,514,1,14.73635,12.51297,11.94984,13.2777,710.22334,743.69176,669.31749,4252.284,-,331.824,152.3661,-,0.458032,0.035884,26.93295,0.143,0.857,-,-,-,0.996,-,-,0.004,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.6,-,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1978,625,1,14.23762,12.08009,11.63892,12.66691,735.67345,763.55852,701.5917,4249.551,-,329.2424,149.1321,13.3634,0.453043,0.035108,26.09701,0.13,0.87,-,-,-,0.996,-,-,0.004,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,7.5,-,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1979,481,1,13.53516,11.48461,11.05875,12.05184,773.81839,803.61714,737.39769,4540.969,-,321.9446,144.2939,15.4545,0.450914,0.031731,26.53529,0.148,0.784,0.068,-,-,0.982,-,-,0.018,-,-,-,-,-,-,-,1,-,-,-,-,-,3.1,-,7.5,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1980,242,1,16.62519,14.13642,13.2673,15.36678,628.6599,669.84255,578.32554,4352.742,-,287.852,130.5904,16.5199,0.4592,0.029911,30.98887,0.26,0.35,0.39,-,-,0.935,-,-,0.065,-,-,-,-,-,-,-,1,-,-,-,-,-,3.1,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1981,244,0.997,17.45886,14.84091,13.98452,16.04157,598.81772,635.48823,553.99822,4324.668,-,283.9464,129.0161,16.5399,0.458145,0.029751,32.29202,0.217,0.315,0.468,-,-,0.954,-,-,0.046,-,-,-,-,-,-,-,1,-,-,-,-,-,3.1,-,6.8,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1982,311,1,17.32255,14.72404,13.89743,15.87836,604.50911,640.35993,560.69145,4342.08,-,286.861,132.2636,17.5964,0.46317,0.030319,32.28871,0.157,0.385,0.458,-,-,0.952,-,-,0.03,0.018,0.018,-,-,-,-,-,0.982,-,-,-,-,-,3.1,-,7,1,-,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1983,382,0.998,17.69679,15.05364,14.05414,16.48668,593.0903,635.32694,541.46775,4417.679,-,294.719,136.2751,15.6411,0.465602,0.030747,33.73666,0.12,0.286,0.594,-,-,0.922,-,-,0.035,0.044,0.044,-,-,-,-,-,0.956,-,-,-,-,-,3.6,-,7.2,0.999,0.001,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1984,525,0.777,17.74713,15.10244,14.04344,16.6357,589.23729,633.68314,534.91459,4285.678,-,279.7189,134.2339,15.5479,0.496985,0.031109,32.92871,0.127,0.303,0.571,-,-,0.862,-,0.086,0.04,0.012,0.012,-,-,-,-,-,0.988,-,-,-,-,-,3.5,-,6.9,0.977,0.023,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1985,593,0.693,18.0245,15.33286,14.31397,16.79394,579.89485,621.1836,529.43083,4222.481,-,275.0676,141.8034,14.6753,0.532742,0.033503,32.93857,0.084,0.251,0.665,-,-,0.862,-,0.091,0.042,0.004,0.004,-,-,-,-,-,0.996,-,-,-,-,-,3.5,-,6.9,0.974,0.026,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1986,776,0.743,19.51875,16.56506,15.27888,18.41002,536.83429,582.01176,483.05179,4197.884,-,255.064,137.1887,14.2349,0.55939,0.032655,35.09306,0.069,0.143,0.788,-,-,0.483,-,0.294,0.219,0.005,0.005,-,-,-,-,-,0.995,-,-,-,-,-,3.7,-,6.6,0.957,0.043,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1987,786,0.705,19.63623,16.62577,15.19137,18.67193,534.60815,585.088,476.02191,4169.265,-,253.0216,150.7957,13.5323,0.622068,0.03616,34.91457,0.051,0.207,0.741,-,-,0.142,-,0.43,0.428,0.001,0.001,-,-,-,-,-,0.999,-,-,-,-,-,3.7,-,6.5,0.966,0.034,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1988,713,0.63,19.75321,16.68591,15.08697,18.96129,532.72713,589.18951,468.79574,4256.24,-,262.0577,155.366,13.4769,0.615361,0.036635,35.71099,0.031,0.173,0.796,-,-,0.004,-,0.435,0.56,0.002,0.002,-,-,-,-,-,0.998,-,-,-,-,-,3.8,-,6.6,0.974,0.026,-,-,-,-,-
Minivan/Van,Rear Wheel Drive,1989,830,0.649,19.83697,16.71202,15.03151,19.06666,531.84882,591.30981,466.16767,4239.172,-,256.8348,154.6792,13.013,0.627416,0.036551,35.70361,0.025,0.112,0.863,-,-,-,-,0.499,0.5,0.001,0.001,-,-,-,-,-,0.999,-,-,-,-,-,3.9,-,6.6,0.978,0.022,-,-,-,-,-
